
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-08-22 15:11:01 /api/captcha/control/status .............................................................. ~ 1s
  2026-08-22 15:11:02 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 ................................ ~ 1s
  2026-08-22 15:11:04 /api/api-tester/send-otp ................................................................. ~ 1s
  2026-08-22 15:11:05 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 .......................... ~ 505.55ms
  2026-08-22 15:11:07 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 ................................ ~ 1s
  2026-08-22 15:11:09 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 .......................... ~ 505.40ms
  2026-08-22 15:11:11 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 ................................ ~ 1s
  2026-08-22 15:11:12 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 .......................... ~ 502.38ms
  2026-08-22 15:11:14 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 ................................ ~ 1s
  The system cannot find the path specified.
  2026-08-22 15:11:15 /api/captcha/control/status .............................................................. ~ 1s
  2026-08-22 15:11:16 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 ................................ ~ 1s
  2026-08-22 15:11:18 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 .......................... ~ 501.87ms
  2026-08-22 15:11:20 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 ................................ ~ 1s
  2026-08-22 15:11:22 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 ................................ ~ 1s
  2026-08-22 15:11:23 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 .......................... ~ 505.17ms
  2026-08-22 15:11:25 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 ................................ ~ 1s
  2026-08-22 15:11:27 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 .......................... ~ 502.40ms
  2026-08-22 15:11:29 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 .......................... ~ 514.23ms
  2026-08-22 15:11:29 /api/api-tester/send-otp ................................................................. ~ 1s
  The system cannot find the path specified.
  2026-08-22 15:11:31 /api/captcha/control/status .............................................................. ~ 1s
  2026-08-22 15:11:31 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 ................................ ~ 1s
  2026-08-22 15:11:33 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 .......................... ~ 502.91ms
  2026-08-22 15:11:35 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 ................................ ~ 1s
  2026-08-22 15:11:37 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 ................................ ~ 1s
  2026-08-22 15:11:39 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 .......................... ~ 504.24ms
  2026-08-22 15:11:40 /api/api-tester/fetch-otp/2 .............................................................. ~ 1s
  2026-08-22 15:11:42 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 .......................... ~ 505.46ms
  2026-08-22 15:11:44 /ivac-endpoints .......................................................................... ~ 3s
  2026-08-22 15:11:47 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 .......................... ~ 500.26ms
  The system cannot find the path specified.
  2026-08-22 15:11:47 /api/captcha/control/status .............................................................. ~ 1s
  2026-08-22 15:11:48 /build/assets/app-DDbAgoTg.css ..................................................... ~ 517.07ms
  2026-08-22 15:11:49 /build/assets/AppSidebarLayout-C66usCqP.css ......................................... ~ 13.44ms
  2026-08-22 15:11:49 /build/assets/Index-DtxZLcdl.js ..................................................... ~ 21.65ms
  2026-08-22 15:11:49 /build/assets/AppSidebarLayout.vue_vue_type_script_setup_true_lang-CSLWTG4v.js ...... ~ 29.92ms
  2026-08-22 15:11:49 /build/assets/refresh-cw-B4I-tE4I.js ................................................ ~ 34.12ms
  2026-08-22 15:11:49 /build/assets/info-Cm_QQO__.js ...................................................... ~ 17.70ms
  2026-08-22 15:11:49 /build/assets/app-B1Zb6IqD.js ....................................................... ~ 44.05ms
  2026-08-22 15:11:49 /build/assets/loader-circle-DteeGzBU.js ............................................. ~ 25.34ms
  2026-08-22 15:11:49 /build/assets/pencil-line-VgIGzLtq.js ................................................ ~ 0.13ms
  2026-08-22 15:11:49 /build/assets/undo-2-Di3rMf38.js ..................................................... ~ 3.47ms
  2026-08-22 15:11:49 /build/assets/check-DJ944RwS.js ...................................................... ~ 0.37ms
  2026-08-22 15:11:49 /build/assets/rotate-ccw-CPPDUzt1.js ................................................ ~ 14.18ms
  2026-08-22 15:11:49 /build/assets/save-BYyilgWr.js ...................................................... ~ 16.37ms
  2026-08-22 15:11:49 /build/assets/index-BxH8y1zF.js ..................................................... ~ 25.74ms
  2026-08-22 15:11:49 /build/assets/index-BfIqpL0c.js ..................................................... ~ 26.85ms
  2026-08-22 15:11:49 /build/assets/VisuallyHidden-LkW1TJIT.js ............................................. ~ 0.04ms
  2026-08-22 15:11:49 /build/assets/useForwardExpose-blqrO72D.js ........................................... ~ 0.05ms
  2026-08-22 15:11:49 /build/assets/useForwardPropsEmits-B1RYwbEt.js ....................................... ~ 1.20ms
  2026-08-22 15:11:49 /build/assets/createLucideIcon-CoZlq9ov.js ........................................... ~ 0.05ms
  2026-08-22 15:11:49 /build/assets/index-dTeW3-Go.js ...................................................... ~ 0.91ms
  2026-08-22 15:11:49 /build/assets/_plugin-vue_export-helper-DlAUqK2U.js .................................. ~ 2.11ms
  2026-08-22 15:11:49 /build/assets/smartphone-CYbcZnlg.js ................................................. ~ 0.05ms
  2026-08-22 15:11:49 /build/assets/puzzle-BZP4zm61.js ..................................................... ~ 1.07ms
  2026-08-22 15:11:49 /build/assets/mail-BcIk-dkq.js ....................................................... ~ 3.67ms
